,n_features,index,distance
0,1,64,0.017295076498856865
1,1,40,0.01488718434167935
2,1,96,0.0010939310865601959
3,1,90,0.012449904394808975
4,1,68,0.04867566957784819
5,1,62,0.0018454425946725639
6,1,71,0.04363980974526882
7,1,22,0.007597355904965131
8,1,50,0.028299376532050724
9,1,27,0.006858648528601019
10,2,82,0.18994172067299625
11,2,19,0.27084754894176916
12,2,64,0.15646601430199955
13,2,16,0.2752256290873956
14,2,19,0.048897059932674264
15,2,84,0.115440562755404
16,2,22,0.021934964509886794
17,2,46,0.09323276960215741
18,2,85,0.2180313452951443
19,2,78,0.2453032083025489
20,2,83,0.4659128044997775
21,2,92,0.29461784524531837
22,2,39,0.05373739809293889
23,2,78,0.24109377713255212
24,2,4,0.1742940254581222
25,2,50,0.17322064409905427
26,2,39,0.12793314460145672
27,2,66,0.2660153726341151
28,2,30,0.22205763532353617
29,2,76,0.10181540907824879
30,2,71,0.14313839824166563
31,2,70,0.20016831533138515
32,2,78,0.28659772836917835
33,2,14,0.2014743777508128
34,2,66,0.25995327705521987
35,2,90,0.0140266324281717
36,2,14,0.5330771888235085
37,2,64,0.19920621681469894
38,2,66,0.2876677724771239
39,2,24,0.44085500204152517
40,2,87,0.23124670332357497
41,2,48,0.6942538396455847
42,2,4,0.3534357719365638
43,2,59,0.2837738844608411
44,2,68,0.09581991901437834
45,2,14,0.3366303433854245
46,2,90,0.3004983435484385
47,2,46,0.08615242908303135
48,2,56,0.08938115635285221
49,2,75,0.4006103331393613
50,2,78,0.2830031859801058
51,2,14,0.13436589602761373
52,2,50,0.17347319678612325
53,2,50,0.2675470581780284
54,2,56,0.15988781111016206
55,3,78,0.3464398598991396
56,3,13,0.5773939082080642
57,3,4,0.5895695218947063
58,3,39,0.5233727988952932
59,3,78,0.34347215592454144
60,3,4,0.47262276489427196
61,3,82,0.26912117253816686
62,3,78,0.30691378877635556
63,3,64,0.3986862348733212
64,3,49,0.5931051940691741
65,3,19,0.27467001451930595
66,3,71,0.3279493950077605
67,3,64,0.38764525377487274
68,3,78,0.3768091963179577
69,3,78,0.37897987944917005
70,3,66,0.5549552378889466
71,3,5,0.4494958807751409
72,3,14,0.6388774876996132
73,3,64,0.19995558629037138
74,3,66,0.5684649128403438
75,3,13,0.550631109556539
76,3,97,0.6419617219600434
77,3,15,0.8348609024530578
78,3,22,0.3696039039588676
79,3,59,0.31326459397645096
80,3,49,0.5561931424143987
81,3,61,0.39361508383166777
82,3,90,0.637617183737555
83,3,46,0.12221185903420598
84,3,61,0.3390120002035422
85,3,84,0.4169040579428269
86,3,78,0.3740824986527733
87,3,61,0.36749725081920787
88,3,18,0.5355967222853404
89,3,4,0.6225315144982202
90,3,78,0.3408235139245927
91,3,78,0.6393822293714555
92,3,92,0.3447818661631961
93,3,92,0.30713564232173723
94,3,78,0.33604743566485906
95,3,18,0.5102297416559344
96,3,78,0.2958213181381797
97,3,78,0.29858136389020073
98,3,4,0.9758526209393882
99,3,83,0.7988361869105285
100,3,78,0.637779100162846
101,3,4,0.9099826341988219
102,3,83,0.47623862328205474
103,3,78,0.6188579259007148
104,3,92,0.33155889631129437
105,3,15,0.8154715366929248
106,3,4,0.3936328255849823
107,3,40,0.4439423020031798
108,3,39,0.42000602625971745
109,3,15,0.4799024990852769
110,3,21,0.9411252548412122
111,3,98,0.3742001698049563
112,3,39,0.13059658497441237
113,3,18,0.48683571902209477
114,3,78,0.29234020871841626
115,3,78,0.2951328111732911
116,3,50,0.2435107530134665
117,3,50,0.3174680537781806
118,3,78,0.2483661600925779
119,3,66,0.3613929593918931
120,3,76,0.49685818732009446
121,3,14,0.5690513544636133
122,3,64,0.41731548864562457
123,3,66,0.38181397586813515
124,3,76,0.5294236575390876
125,3,92,0.32074966394512444
126,3,30,0.7660521515045905
127,3,30,0.4053675812846549
128,3,66,0.444845581249507
129,3,76,0.4727099858087341
130,3,14,0.3911114200080167
131,3,76,0.5786314799713348
132,3,98,0.5793956376859433
133,3,76,0.21205656614225113
134,3,18,0.5977920743088978
135,3,78,0.3672771064465865
136,3,14,0.24021313200614555
137,3,18,0.4634581587556957
138,3,70,0.4775389534849203
139,3,78,0.3333398037519404
140,3,76,0.6460254963597978
141,3,58,1.1083827166436706
142,3,90,0.8366219542061604
143,3,66,0.37761546570858784
144,3,24,0.6481262288590265
145,3,14,0.6167502358602213
146,3,90,0.3007561380833237
147,3,83,0.7557606192859464
148,3,76,0.5218079621496087
149,3,84,0.9541574337941222
150,3,78,0.6547723073766782
151,3,14,0.5339616646924696
152,3,21,1.0429481732761778
153,3,76,0.7717197046775187
154,3,78,0.6363566031345822
155,3,15,0.8465006160605821
156,3,28,0.7067113930587516
157,3,87,0.6041947963350356
158,3,39,0.41820391100443194
159,3,30,0.8335514791480007
160,3,9,0.9079251453264292
161,3,15,0.8526333866476519
162,3,54,0.5952143364894364
163,3,4,0.5649070808771639
164,3,33,0.4880014747068427
165,3,61,0.9463865311639232
166,3,88,0.5294502636163629
167,3,14,0.33802922685023495
168,3,21,0.948276567574079
169,3,76,0.6001915366527044
170,3,56,0.16018882186996927
171,3,18,0.43757067196362465
172,3,84,0.7815406945013977
173,3,78,0.3302544021415902
174,3,50,0.26903955666745377
175,4,78,0.6845849456126131
176,4,4,0.8140550552892407
177,4,57,0.8631479799216453
178,4,78,0.4156618716461006
179,4,18,0.7094108271751274
180,4,78,0.38387128674651083
181,4,78,0.3860022582653426
182,4,4,1.0701785871433716
183,4,83,1.0968863479263955
184,4,78,0.683087910248704
185,4,4,1.0104762565886132
186,4,78,0.6642224524781016
187,4,78,0.6654562682652755
188,4,39,0.6587543238798166
189,4,15,0.8861474677667034
190,4,4,0.5898649607867269
191,4,40,0.7100159822234693
192,4,39,0.6689068999226818
193,4,15,0.5920894494088834
194,4,21,1.0634276442093227
195,4,99,0.9178963262339297
196,4,39,0.5367372231145079
197,4,18,0.6927758293696287
198,4,78,0.3811951077295444
199,4,78,0.3833409562706042
200,4,18,0.5808411577784942
201,4,4,0.6462007761037355
202,4,78,0.34861534963702306
203,4,66,0.6091013716177792
204,4,14,0.7258868640179454
205,4,14,0.6691880147329805
206,4,64,0.4176737204261691
207,4,66,0.6214350504894798
208,4,14,0.6569976752480345
209,4,57,0.9830464826832574
210,4,79,1.1623807972524576
211,4,60,0.7560734414502279
212,4,66,0.6620326283241946
213,4,49,0.6241647707248689
214,4,14,0.5262711258525229
215,4,64,0.8201499337268295
216,4,79,0.8713475570777682
217,4,14,0.5106805695590309
218,4,18,0.7747804182796256
219,4,78,0.4412928567778874
220,4,14,0.42625755574956875
221,4,18,0.6765521394247722
222,4,4,0.8382355864780878
223,4,78,0.41347592105078373
224,4,90,0.962276961639478
225,4,15,1.2998351115507605
226,4,90,1.0080638436040599
227,4,66,0.6188643225707419
228,4,66,0.8421263955197118
229,4,14,0.710192937502925
230,4,90,0.6377387185335786
231,4,85,0.8118171008079532
232,4,14,0.6987183657941787
233,4,84,0.9578669787988897
234,4,78,0.6989804625529894
235,4,14,0.6396156771113011
236,4,64,1.1332359452021903
237,4,64,0.9411844791547485
238,4,78,0.6817599569323473
239,4,15,0.9147823787458773
240,4,90,1.008007668105846
241,4,56,0.9212489830816203
