,n_features,index,distance
0,1,72,0.01639211429506915
1,1,47,0.002758282557751941
2,1,33,0.011151014798316344
3,1,80,0.05364967858205505
4,1,30,0.002777873160216604
5,1,61,0.01892386497091736
6,1,91,0.026045660675024198
7,1,62,0.001375915963989005
8,1,46,0.004421704367743695
9,1,7,0.013285449820776285
10,2,72,0.03868258024957508
11,2,10,0.18464984612315177
12,2,72,0.13588648109275644
13,2,29,0.145244999602415
14,2,42,0.0880091383530747
15,2,77,0.2286872159443228
16,2,6,0.3087449670853457
17,2,83,0.19237064101281817
18,2,29,0.3388579747872148
19,2,63,0.13957250301675342
20,2,53,0.10839918689923235
21,2,29,0.08465787857221137
22,2,42,0.037618135561015745
23,2,25,0.31699189404471
24,2,29,0.3010209778749834
25,2,88,0.10885939991850499
26,2,63,0.19619947845592725
27,2,33,0.06182903142185325
28,2,33,0.12977934019211435
29,2,87,0.34320936737542634
30,2,74,0.0614297215859605
31,2,21,0.34345699067088886
32,2,74,0.20806058736784422
33,2,63,0.17593135829019657
34,2,33,0.1428874242374063
35,2,42,0.1390927939363624
36,2,39,0.1980281236184439
37,2,53,0.32358258124803957
38,2,18,0.12680628347245992
39,2,80,0.06729087739173782
40,2,97,0.2563269357766388
41,2,54,0.10933492880136572
42,2,76,0.2256310194700439
43,2,59,0.09672465524243185
44,2,9,0.20231908320677972
45,2,5,0.24710141016497045
46,2,61,0.22641968611995292
47,2,98,0.25926302372194504
48,2,92,0.29235760426895263
49,2,8,0.3200433326593047
50,2,74,0.20340914906151902
51,2,7,0.20433250888059282
52,2,82,0.22095466717195397
53,2,8,0.31150247850028273
54,2,9,0.15884175193010475
55,3,29,0.4803667955374402
56,3,72,0.14033095292013895
57,3,29,0.14839705746398224
58,3,42,0.0894271663031541
59,3,77,0.45624786880196894
60,3,29,0.324758925020441
61,3,42,0.3325546866187883
62,3,29,0.34022096324499995
63,3,32,0.5278905262007203
64,3,58,0.3897162195007444
65,3,98,0.447271667652226
66,3,32,0.4837579712356253
67,3,21,0.5552015017030759
68,3,32,0.38632101610730724
69,3,29,0.5742792685773338
70,3,72,0.3404403403472606
71,3,42,0.16102453004107292
72,3,77,0.44234689247159964
73,3,72,0.44881018317099647
74,3,42,0.3585028602313472
75,3,29,0.5167219555982228
76,3,56,0.5670727006207205
77,3,29,0.6409905323224381
78,3,29,0.3328425487762252
79,3,40,0.4838629156475551
80,3,29,0.34794555138236366
81,3,5,0.5505336817885911
82,3,83,0.5394541885344175
83,3,98,0.26419839603206224
84,3,56,0.7369709588958032
85,3,90,0.6133131470118933
86,3,99,0.4049719322163249
87,3,99,0.5436400430985479
88,3,83,0.3959813951450289
89,3,29,0.45223089173920994
90,3,99,0.49003094104390427
91,3,87,0.28550928471339065
92,3,29,0.471316144053195
93,3,87,0.3888780487578023
94,3,74,0.49517479584577695
95,3,29,0.5527979561843875
96,3,46,0.43584634252662435
97,3,63,0.21086318049220093
98,3,72,0.34184581981998585
99,3,42,0.1399943390440653
100,3,74,0.5370107758682978
101,3,53,0.3263737553975161
102,3,42,0.3495623213155176
103,3,87,0.3995874263836291
104,3,87,0.5633012572759445
105,3,36,0.4850153179711802
106,3,29,0.31121537360917056
107,3,30,0.5620984977690745
108,3,29,0.32731781684109224
109,3,87,0.6298106458345196
110,3,61,0.5012794638973722
111,3,42,0.32430547347511895
112,3,87,0.478937048548153
113,3,60,0.61918583090644
114,3,74,0.5317891966453526
115,3,87,0.6391958381037952
116,3,46,0.6068590519762106
117,3,29,0.436558845905203
118,3,88,0.37383195779015443
119,3,33,0.14332187947495245
120,3,87,0.374300366744474
121,3,74,0.22315885383716622
122,3,87,0.5844156328675607
123,3,74,0.29885694130744467
124,3,87,0.389885411868367
125,3,87,0.5564609865143592
126,3,33,0.4463637403916452
127,3,60,0.5382811281721581
128,3,33,0.34204133179810253
129,3,29,0.5667303836110966
130,3,87,0.6237002266075977
131,3,87,0.6412894955385713
132,3,46,0.42398436097491043
133,3,87,0.47087282734926406
134,3,60,0.5820491557352001
135,3,74,0.21028326209177017
136,3,7,0.6097559722744453
137,3,75,0.42742753519186055
138,3,75,0.4602867184012057
139,3,75,0.38946294248557156
140,3,39,0.37866013068677246
141,3,54,0.2426846914231112
142,3,54,0.4532252645583061
143,3,33,0.3472267436743887
144,3,54,0.3554936229517218
145,3,39,0.36147023635118575
146,3,39,0.561633845538102
147,3,42,0.3508642491446763
148,3,87,0.4671780433746731
149,3,54,0.445362464246945
150,3,74,0.2956375234535027
151,3,54,0.34541323090684556
152,3,18,0.4570076684077404
153,3,54,0.515584698248815
154,3,9,0.49537436899031795
155,3,39,0.39013184349385743
156,3,76,0.33072428938818366
157,3,56,0.5276736082627707
158,3,92,0.5172601613249231
159,3,54,0.401143070524592
160,3,54,0.4291781215064646
161,3,54,0.28614391231562525
162,3,30,0.5661058098851315
163,3,29,0.4426052742947199
164,3,9,0.22568911470992728
165,3,90,0.5592289656436293
166,3,56,0.6040256027618601
167,3,92,0.44460620646609517
168,3,83,0.5132731608576387
169,3,62,0.45598318771567475
170,3,88,0.4737273356375301
171,3,54,0.5688986949262569
172,3,8,0.4460085939680636
173,3,99,0.4324701077622292
174,3,75,0.5220530248607601
175,4,29,0.6188126619383834
176,4,29,0.4868199234879292
177,4,46,1.1629655580744829
178,4,77,0.6979141770027207
179,4,29,0.5660744744477154
180,4,66,1.0558178853365892
181,4,29,0.575084563409748
182,4,72,0.342238609656276
183,4,42,0.1618039211957168
184,4,77,0.592903911548283
185,4,72,0.45017576691963956
186,4,42,0.358853605852607
187,4,29,0.5176168043559971
188,4,72,0.6792558961853801
189,4,29,0.6417121155794594
190,4,29,0.3342300690098316
191,4,56,0.7791873313216666
192,4,29,0.3492730786665929
193,4,42,0.7835291404834855
194,4,72,0.7395400784844786
195,4,42,0.33429946765713836
196,4,56,0.9401861653911485
197,4,29,0.7037336939481648
198,4,56,0.8327907235476132
199,4,29,0.7110014461650922
200,4,44,1.1446800158391317
201,4,29,0.45325308184027163
202,4,56,0.9103228239249541
203,4,68,0.6131951991942366
204,4,79,1.2075035134580128
205,4,32,0.6335193472994181
206,4,68,0.6488618986422963
207,4,32,0.5626445735585254
208,4,29,0.6942431351033127
209,4,66,1.104541984738037
210,4,29,0.7911010136308936
211,4,29,0.5707504827126112
212,4,66,0.9666327875531293
213,4,29,0.5796878970339142
214,4,21,1.0824920749705682
215,4,21,0.7808715739364676
216,4,98,0.5092870724054824
217,4,21,0.9032690840675557
218,4,29,0.8421920722046078
219,4,32,0.5214616795473945
220,4,29,0.8482743842267162
221,4,21,0.6183591906205091
222,4,29,0.6476764089296952
223,4,21,0.7671393040869929
224,4,56,0.6757704601861986
225,4,29,0.7503637217025897
226,4,29,0.5127972451137124
227,4,56,0.633563992842126
228,4,29,0.5227264667559277
229,4,56,0.7369350085285967
230,4,72,0.7509249772206514
231,4,42,0.3601219450099959
232,4,56,0.8235414144575784
233,4,29,0.804047503300536
234,4,32,0.6016860796565442
235,4,29,0.8104161474296699
236,4,44,1.2562622679210416
237,4,29,0.5972349887302317
238,4,56,0.7892769346006381
239,4,56,0.7603406125532636
240,4,72,0.8019516049445334
241,4,56,0.5899919674146331
242,4,56,0.8445502362971773
243,4,29,0.7075004698891378
244,4,56,0.7230874533994232
245,4,29,0.7147299205603989
246,4,40,0.9017917010489449
247,4,29,0.45907968708398045
248,4,40,0.5482711237148243
249,4,90,0.6699924806546044
250,4,56,0.6591646331141909
251,4,99,0.810435435204574
252,4,83,0.5438136733789437
253,4,21,0.9002257477824178
254,4,56,0.7547484800119255
255,4,21,0.9689727162077856
256,4,29,0.7708991711376644
257,4,99,0.5436627262164976
258,4,21,0.763553580708812
259,4,87,0.5228496067855893
260,4,87,0.4165744009135499
261,4,74,0.5396520562294709
262,4,87,0.6123521036882512
263,4,74,0.5750999383710798
264,4,87,0.4306322112188096
265,4,87,0.5857322737087048
266,4,60,0.6627602072057293
267,4,29,0.5584146846309832
268,4,33,0.6589477618570858
