,n_features,index,distance
0,1,65,0.0023948070256417375
1,1,49,0.0009500659355771157
2,1,46,0.01255862093032889
3,1,76,0.0003396746963717501
4,1,7,0.01930195646899313
5,1,88,0.02190798657846127
6,1,83,0.0079166565723362
7,1,69,0.01629747346777677
8,1,32,0.014226152651412916
9,1,39,0.005136010579979644
10,2,41,0.18670324935782132
11,2,27,0.14592397897765538
12,2,96,0.08401592170947915
13,2,24,0.3388803108260827
14,2,89,0.26148064504237545
15,2,47,0.08486515530530427
16,2,27,0.14655244066556267
17,2,95,0.2878546060510403
18,2,93,0.08142518603173741
19,2,51,0.18957022024826237
20,2,51,0.13898160328052023
21,2,58,0.21444200123436805
22,2,89,0.16188256492151784
23,2,58,0.1679894265767528
24,2,55,0.16806215629928598
25,2,44,0.046602511955222116
26,2,10,0.06732689306539823
27,2,51,0.14085415341205748
28,2,86,0.19053843514079746
29,2,46,0.029868163425142237
30,2,46,0.2903295665466472
31,2,27,0.15279850388858934
32,2,46,0.17648008579591326
33,2,27,0.16174856876052604
34,2,36,0.21774450676029788
35,2,76,0.08627108601879852
36,2,83,0.11225887325927703
37,2,67,0.2750298550463992
38,2,83,0.15818934379776234
39,2,76,0.07212348953563118
40,2,56,0.04701545000044776
41,2,58,0.18760023362827488
42,2,7,0.05986324336903554
43,2,9,0.2846826581736196
44,2,56,0.20381044879242513
45,2,62,0.24933923705715633
46,2,19,0.35070782178427107
47,2,88,0.12959658142689198
48,2,39,0.026183410274051553
49,2,58,0.25872695481542124
50,2,9,0.10920348765686524
51,2,12,0.23935298533141416
52,2,55,0.21673904864954927
53,2,27,0.16231577163184321
54,2,12,0.18178675504132116
55,3,95,0.4462439400389492
56,3,89,0.30067903102484334
57,3,24,0.38045410347219377
58,3,89,0.28991409933603063
59,3,95,0.37173552276399613
60,3,95,0.3376667750531497
61,3,95,0.3766447368551318
62,3,41,0.20138414759064424
63,3,93,0.3271254210960088
64,3,93,0.6220214156539552
65,3,87,0.5152628397809746
66,3,27,0.3232364956249845
67,3,27,0.18182245226634652
68,3,95,0.44147835324036155
69,3,27,0.18940596836856866
70,3,24,0.5069520641388966
71,3,89,0.29198926350042054
72,3,95,0.4073105180691665
73,3,95,0.3764749795404015
74,3,95,0.41179584389090523
75,3,93,0.24789005303310452
76,3,39,0.4251757096179696
77,3,24,0.3921536137873819
78,3,9,0.8038208438717976
79,3,54,0.4491519493693058
80,3,39,0.42443087810021557
81,3,97,0.5439892055833077
82,3,89,0.5038134468420223
83,3,89,0.4489347157209644
84,3,28,0.3470473848473961
85,3,27,0.32352069845418346
86,3,95,0.36600106727024406
87,3,27,0.3278427352157892
88,3,95,0.3313432258748179
89,3,27,0.18989057659082847
90,3,54,0.6381115244558815
91,3,51,0.19376873714408374
92,3,33,0.4335883518643746
93,3,89,0.5922160134255434
94,3,95,0.4713176771022405
95,3,31,0.33228111550644096
96,3,33,0.33766120373560643
97,3,33,0.3567973263465825
98,3,58,0.39097460873693013
99,3,89,0.20758508398560502
100,3,58,0.3675543772357787
101,3,31,0.35700867113385304
102,3,89,0.40710429963029454
103,3,51,0.3530999356262517
104,3,72,1.2337252817097657
105,3,58,0.2338799553108071
106,3,58,0.32281658482593073
107,3,33,0.3901912944837479
108,3,49,0.2612498788004599
109,3,5,0.8076455166733916
110,3,89,0.46006719760555853
111,3,89,0.39921950863310246
112,3,79,0.6731538223579948
