,n_features,index,distance
0,1,97,0.03553742120568826
1,1,96,0.019308553497675907
2,1,8,0.016945083147172912
3,1,75,0.05700042885850154
4,1,30,0.011874329875854794
5,1,86,0.05572882918992117
6,1,68,0.0011534123968925947
7,1,83,0.0004797139234251624
8,1,93,0.0014260851206164549
9,1,27,0.010168042900168761
10,2,59,0.3109506961009379
11,2,85,0.3336547592097388
12,2,23,0.1875559597609111
13,2,60,0.13293556975910728
14,2,39,0.14703397147677902
15,2,0,0.1576079366654565
16,2,39,0.1359935498742012
17,2,23,0.1712175957469201
18,2,39,0.15689956851993528
19,2,37,0.10194401215169338
20,2,7,0.1399241745547117
21,2,59,0.09219207726600119
22,2,76,0.2107885835008862
23,2,70,0.15441480870546567
24,2,14,0.2982698866632995
25,2,37,0.1319188481103804
26,2,56,0.18016449398502687
27,2,44,0.33354349251269655
28,2,59,0.34393841441524065
29,2,90,0.18857347562748278
30,2,37,0.2269910335013161
31,2,83,0.32151369698792065
32,2,37,0.14405936940977598
33,2,85,0.19876414771637319
34,2,30,0.18409413116135664
35,2,86,0.08909812940505346
36,2,94,0.2990902703570263
37,2,68,0.3650998729776367
38,2,23,0.0768629168264646
39,2,79,0.22084343704637788
40,2,39,0.24100659172647212
41,2,0,0.15227109220748172
42,2,34,0.20315462632587558
43,2,93,0.13049599842872972
44,2,33,0.15154610729887888
45,2,89,0.20150157663502147
46,2,46,0.15372185030519112
47,2,19,0.28832655394944895
48,2,56,0.1582118785724358
49,2,68,0.012391771907952182
50,2,70,0.09387251371252625
51,2,68,0.09956903769328371
52,2,73,0.18797470589392296
53,2,14,0.04916725873842239
54,2,27,0.17104752774479048
55,3,85,0.39259738101553926
56,3,16,0.6001581935970572
57,3,59,0.3231988038082801
58,3,46,0.525325085927812
59,3,96,0.5253783734100077
60,3,46,0.5378601987599383
61,3,96,0.5040466828161483
62,3,85,0.4043772473813006
63,3,44,0.6301217138348462
64,3,59,0.4628733310344771
65,3,85,0.6010772663050259
66,3,44,0.5925014536363986
67,3,39,0.6213101911251261
68,3,22,0.5724606886143845
69,3,85,0.36847417665519716
70,3,60,0.32264146475759015
71,3,19,0.501026699381018
72,3,65,0.5275844984789039
73,3,41,0.661678031352733
74,3,23,0.18761744470899325
75,3,41,0.6452432467972049
76,3,39,0.25335876519349515
77,3,0,0.20924791426005623
