,n_features,index,distance
0,1,0,0.0
1,1,34,0.026760899063562382
2,1,65,0.030054847606486024
3,1,57,0.044122360596408505
4,1,30,0.04109400165717303
5,1,89,0.013840912128973981
6,1,16,0.011256763618948229
7,1,95,0.021093364808400406
8,1,3,0.019194862773093457
9,1,66,0.03960178514212931
10,2,78,0.07244541850495353
11,2,78,0.11630495630920035
12,2,82,0.18026800414509553
13,2,60,0.13048101002303406
14,2,97,0.1873800040496319
15,2,16,0.23776087144364094
16,2,85,0.2242356035454458
17,2,16,0.2398770330111164
18,2,59,0.19831933170653393
19,2,78,0.11347671062647795
20,2,82,0.1368149490282157
21,2,54,0.18531336942027835
22,2,39,0.11600823732030487
23,2,40,0.14845657258362058
24,2,15,0.35260174467274624
25,2,39,0.1289102961254255
26,2,91,0.18968449033251528
27,2,57,0.13084724875662299
28,2,30,0.21904995731696392
29,2,76,0.22908981287092828
30,2,76,0.30448981655559293
31,2,35,0.050958262743378294
32,2,65,0.1453022818992549
33,2,66,0.12618214544671547
34,2,59,0.1416903595270028
35,2,46,0.1902025824598517
36,2,3,0.17573294511528947
37,2,45,0.1322727111820377
38,2,49,0.09520934223316713
39,2,59,0.13415029629330555
40,2,39,0.2524335778374845
41,2,40,0.26615838446860635
42,2,59,0.29911051141247236
43,2,49,0.22960192492912246
44,2,59,0.15957023338854204
45,2,76,0.20506852144375037
46,2,89,0.28797432849115673
47,2,39,0.14013914182653023
48,2,86,0.2801915057299917
49,2,16,0.1266011574680007
50,2,16,0.03555542758739417
51,2,72,0.12145520140268895
52,2,16,0.13053203456935078
53,2,59,0.29561333198981593
54,2,72,0.17153505773262015
55,3,78,0.12580171973993098
56,3,82,0.201139252513222
57,3,39,0.331416446425252
58,3,39,0.25018628158275225
59,3,82,0.4577477108809391
60,3,78,0.5233136376462509
61,3,39,0.2564237290368911
62,3,18,0.3428415903232729
63,3,57,0.6172654134670582
64,3,0,0.35041432672437234
65,3,19,0.4907162048009297
66,3,0,0.5182766696799824
67,3,78,0.5311644449191595
68,3,0,0.47672274539074044
69,3,18,0.3966845411567734
70,3,59,0.21843835197427094
71,3,46,0.2850122603005241
72,3,82,0.46079323554940566
73,3,59,0.33111915722241564
74,3,63,0.5819823347762255
75,3,59,0.21362457168108223
76,3,97,0.30999258278580566
77,3,0,0.4488919443125755
78,3,59,0.34220791000176326
79,3,39,0.34061404684313024
80,3,59,0.230438310647379
81,3,89,0.5866147568762735
82,3,85,0.362361368087201
83,3,39,0.26224843838985273
84,3,89,0.519267877299224
85,3,16,0.2691307680936986
86,3,16,0.2401410121020337
87,3,89,0.7102697622408517
88,3,16,0.27100208359213934
89,3,59,0.33915541817943184
90,3,39,0.534738812235098
91,3,20,0.5787160127352747
92,3,92,0.522133887371573
93,3,92,0.36568045296070284
94,3,4,0.512013019383953
95,3,78,0.5305523428831497
96,3,65,0.4215635721350576
97,3,18,0.3993872207158214
98,3,40,0.4317861019185257
99,3,27,0.5049087691086687
100,3,50,0.37411912957875954
101,3,27,0.4005475768308406
102,3,15,0.5142623704279418
103,3,50,0.5280915490915776
104,3,39,0.2625663905958828
105,3,40,0.2691817268378998
106,3,16,0.6763153004998685
107,3,39,0.26851641065590465
108,3,39,0.5348948152143903
109,3,98,0.4400857978832834
110,3,27,0.5622904146651171
111,3,39,0.15766222541431005
112,3,39,0.48874203612365796
113,3,16,0.5198391963688989
114,3,34,0.3984993435449091
115,3,50,0.42849078951946384
116,3,15,0.4515092023285575
117,3,27,0.7205770894832407
118,3,39,0.491964156413127
119,3,49,0.48251486495251245
120,3,57,0.44975795773065097
121,3,20,0.5652421817461225
122,3,20,0.3988320089132908
123,3,49,0.42529405719839314
124,3,49,0.583076365932198
125,3,76,0.3460581024221423
126,3,76,0.3999851450702084
127,3,7,0.551950075917704
128,3,49,0.4738430754700929
129,3,66,0.4281392413933267
130,3,76,0.3059814448903899
131,3,89,0.5627630310978454
132,3,76,0.45549168671206686
133,3,76,0.46773185093475417
134,3,67,0.4004885048711257
135,3,65,0.3847825281768394
136,3,72,0.47834387279304325
137,3,58,0.5768501620430094
138,3,66,0.38886877602639564
139,3,72,0.4934427735028782
140,3,97,0.6337881831531683
141,3,40,0.4530359355197784
142,3,59,0.3094705128680766
143,3,49,0.24778240599362006
144,3,59,0.17823456365439724
145,3,98,0.6464057125257853
146,3,27,0.47220111842895046
147,3,62,0.5520908857893441
148,3,61,0.4515233797201786
149,3,55,0.39521406231396294
150,3,3,0.17677813992621155
151,3,3,0.4842386190599649
152,3,15,0.4910169599357148
153,3,59,0.3060917221153175
154,3,49,0.4105527668017161
155,3,76,0.33064658833549593
156,3,42,0.8433321822226806
157,3,39,0.2740842524047339
158,3,86,0.44740539527158313
159,3,16,0.450914807262054
160,3,72,0.3940667972707867
161,3,72,0.37616401750112805
162,3,58,0.3522299127622004
163,3,59,0.3180542402415236
164,3,72,0.39518638405966694
165,3,89,0.5638836683903238
166,3,76,0.4438959706842276
167,3,28,0.4387385515519375
168,3,15,0.5676907270989132
169,3,89,0.4934440666247402
170,3,86,0.3314008525306677
171,3,16,0.1310165133713574
172,3,10,0.5716873751214644
173,3,72,0.19067810647205294
174,3,51,0.5938412082993406
175,4,78,0.7497522954364197
176,4,65,0.9781926565228655
177,4,57,0.9922837035171482
178,4,65,0.779221679268398
179,4,78,0.5333243828794235
180,4,65,0.7074256454478547
181,4,18,0.4439837498671295
182,4,97,0.6815296006189651
183,4,97,0.6376110885713634
184,4,82,0.4693515223275744
185,4,27,0.6190061772053724
186,4,15,0.8254913444322399
187,4,59,0.7922589117410499
188,4,39,0.3436224291814924
189,4,16,0.7057134541262498
190,4,16,0.7168025550684751
191,4,39,0.3481900733185403
192,4,39,0.5790058097370671
193,4,16,0.9310649306532436
194,4,27,0.7340986286171772
195,4,39,0.27201588499319806
196,4,39,0.5366600807218095
197,4,16,0.5715210471574335
198,4,16,0.5584555870457508
199,4,20,1.2021342353982885
200,4,16,0.5724046351319195
201,4,59,0.8349042599529912
202,4,39,0.539596141166076
203,4,49,0.8021773695890059
204,4,57,0.7524478777281034
205,4,3,0.9641805281756736
206,4,63,0.8718399702903266
207,4,57,0.7593891516972789
208,4,84,0.739492105553682
209,4,28,1.154930171966465
210,4,0,0.5444744642207718
211,4,17,0.824329246994031
212,4,0,0.5050805003430717
213,4,49,0.8912340943725052
214,4,89,0.7601906920539816
215,4,89,0.6523740903036279
216,4,57,0.8717145857709288
217,4,89,0.7095154287930205
218,4,89,0.8126721112837084
219,4,0,0.6331878218883289
220,4,89,0.8592183368935848
221,4,17,0.9288897548322678
222,4,89,0.765479076048557
223,4,49,0.8615988922695458
224,4,97,0.6585964529272433
225,4,16,0.8160638792539173
226,4,59,0.3512992370688763
227,4,49,0.6870691799961502
228,4,59,0.24373492837797692
229,4,63,0.847990694381336
230,4,27,0.6676108015594884
231,4,61,0.6623997424019678
232,4,61,0.5704469329657411
233,4,16,0.7032532140218621
234,4,16,0.6926769942698862
235,4,3,0.8987658685786029
236,4,16,0.7039714781215612
237,4,59,0.34832642446111506
238,4,61,0.7382502991656593
239,4,16,0.8944122530573035
240,4,16,0.903187523184933
241,4,39,0.3525016904672968
242,4,39,0.5816088396284983
243,4,16,0.5096348503297651
244,4,16,0.4949383961962609
245,4,28,0.9993628147215182
246,4,16,0.5106255375979727
247,4,59,0.35888390234998974
248,4,39,0.5843190871903715
249,4,89,0.6533410411158785
250,4,16,0.7834631081211505
251,4,89,0.7104046072501485
252,4,16,0.79346636060059
253,4,89,0.5936133180920157
254,4,39,0.5423883389104629
255,4,16,0.2712357720479615
256,4,89,0.7663033199556469
257,4,3,0.8891096955389147
258,4,23,0.889420461720294
259,4,4,0.8155284247304739
260,4,98,0.6885385515420316
261,4,4,0.6727843865864037
262,4,20,0.6327799131715973
263,4,57,0.7957211935300031
264,4,20,0.8185249439479938
265,4,92,0.5294247131271312
266,4,4,0.7279443744245133
267,4,7,0.8674449227452301
268,4,65,0.8089098429674955
269,4,76,1.0385328108721716
270,4,98,0.5773443407135287
271,4,98,0.7508503612382108
272,4,92,0.8662553741624643
273,4,98,0.9829106270377058
274,4,20,0.7730967490161069
275,4,65,0.5519607651059082
276,4,20,0.9312632542363548
277,4,20,0.9219005100234883
278,4,20,0.8407255771056215
279,4,86,1.0384815837067858
280,4,97,0.6599016661821525
281,4,40,0.45481872797057954
282,4,59,0.8232926113733909
283,4,4,0.9209368239617195
284,4,59,0.7834579026905404
285,4,98,0.6822309057147301
286,4,27,0.5640672634528942
287,4,15,0.6758150989766709
288,4,27,0.7846828741478168
289,4,20,0.7492885779779065
290,4,4,0.7972934547704342
291,4,50,0.5391036245874654
292,4,15,0.561200245424457
293,4,27,0.7219644791560771
294,4,20,1.0407824006400472
295,4,76,0.9501268386891724
296,4,16,1.0067517677082531
